Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
1,PGD,0,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_0.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_16.npy,99,53
1,PGD,1,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_1.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_7.npy,45,10
1,PGD,2,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_2.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_PGD_sample_17.npy,53,45
1,PGD,3,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_3.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/seed_data/initial_seed_data.npy,53,10
1,PGD,4,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_4.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_17.npy,89,53
1,PGD,5,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_5.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/seed_data/initial_seed_data.npy,45,10
1,PGD,6,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_6.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_PGD_sample_9.npy,20,53
1,PGD,7,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_7.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_17.npy,20,53
1,PGD,8,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_8.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_PGD_sample_16.npy,53,45
1,PGD,9,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_9.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_Universal_sample_21.npy,89,53
1,PGD,10,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_10.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_Universal_sample_20.npy,89,53
1,PGD,11,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_11.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_10.npy,89,10
1,PGD,12,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_12.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/seed_data/initial_seed_data.npy,53,10
1,PGD,13,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_13.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_Universal_sample_0.npy,45,10
1,PGD,14,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_14.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_PGD_sample_7.npy,10,99
1,PGD,15,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_15.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/seed_data/initial_seed_data.npy,45,10
1,PGD,16,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_16.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_Universal_sample_23.npy,89,53
