Round,Cnt,All,Prob
1,30,30,1.0
2,14,30,0.4666666666666667
3,30,30,1.0
4,0,30,0.0
5,30,30,1.0
6,28,30,0.9333333333333333
7,30,30,1.0
8,15,30,0.5
9,27,30,0.9
10,30,30,1.0
11,17,30,0.5666666666666667
12,15,30,0.5
13,30,30,1.0
14,30,30,1.0
15,28,30,0.9333333333333333
16,20,30,0.6666666666666666
17,16,30,0.5333333333333333
18,30,30,1.0
19,26,30,0.8666666666666667
20,30,30,1.0
21,30,30,1.0
22,30,30,1.0
23,30,30,1.0
24,30,30,1.0
25,30,30,1.0
26,30,30,1.0
27,29,30,0.9666666666666667
28,23,30,0.7666666666666667
29,18,30,0.6
30,30,30,1.0
31,14,30,0.4666666666666667
32,30,30,1.0
33,30,30,1.0
34,30,30,1.0
35,30,30,1.0
36,30,30,1.0
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,30,30,1.0
41,30,30,1.0
42,30,30,1.0
43,30,30,1.0
44,30,30,1.0
45,30,30,1.0
46,30,30,1.0
47,30,30,1.0
48,30,30,1.0
49,30,30,1.0
50,30,30,1.0
51,30,30,1.0
52,30,30,1.0
53,30,30,1.0
54,30,30,1.0
55,30,30,1.0
56,30,30,1.0
57,30,30,1.0
58,30,30,1.0
59,30,30,1.0
60,30,30,1.0
61,30,30,1.0
62,30,30,1.0
63,30,30,1.0
64,30,30,1.0
65,30,30,1.0
66,30,30,1.0
67,30,30,1.0
68,30,30,1.0
69,30,30,1.0
70,30,30,1.0
71,30,30,1.0
72,30,30,1.0
73,30,30,1.0
74,30,30,1.0
75,30,30,1.0
76,30,30,1.0
77,30,30,1.0
78,30,30,1.0
79,30,30,1.0
80,30,30,1.0
81,30,30,1.0
82,30,30,1.0
83,30,30,1.0
84,30,30,1.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
88,30,30,1.0
89,30,30,1.0
90,30,30,1.0
91,30,30,1.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,30,30,1.0
96,30,30,1.0
97,30,30,1.0
98,30,30,1.0
99,30,30,1.0
100,30,30,1.0
