Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
2,Universal,0,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_0.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_13.npy,45,45
2,Universal,1,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_1.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_27.npy,45,79
2,Universal,2,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_2.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/seed_data/initial_seed_data.npy,53,53
2,Universal,3,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_3.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_2.npy,53,53
2,Universal,4,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_4.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_5.npy,45,10
2,Universal,5,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_5.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_20.npy,10,10
2,Universal,6,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_6.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_15.npy,10,10
2,Universal,7,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_7.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_1_attack_PGD_sample_8.npy,53,53
2,Universal,8,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_8.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_11.npy,53,10
2,Universal,9,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_9.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_PGD_sample_6.npy,10,53
2,Universal,10,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_10.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_6.npy,10,53
2,Universal,11,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_11.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/seed_data/initial_seed_data.npy,53,53
2,Universal,12,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_12.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_PGD_sample_14.npy,53,53
2,Universal,13,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_13.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_DeepFool_sample_16.npy,89,10
2,Universal,14,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_14.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_Universal_sample_22.npy,53,53
2,Universal,15,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_2_attack_Universal_sample_15.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_0_attack_FGM_sample_16.npy,53,53
4,CW,0,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_4_attack_CW_sample_0.npy,PyTorch/TorchAlexNetCIFAR10/adversarial_samples/round_3_attack_FGM_sample_18.npy,53,53
