Round,Cnt,All,Prob
1,0,30,0.0
2,16,30,0.5333333333333333
3,0,30,0.0
4,30,30,1.0
5,0,30,0.0
6,2,30,0.06666666666666667
7,0,30,0.0
8,15,30,0.5
9,3,30,0.1
10,0,30,0.0
11,13,30,0.43333333333333335
12,15,30,0.5
13,0,30,0.0
14,0,30,0.0
15,2,30,0.06666666666666667
16,10,30,0.3333333333333333
17,14,30,0.4666666666666667
18,0,30,0.0
19,4,30,0.13333333333333333
20,0,30,0.0
21,0,30,0.0
22,0,30,0.0
23,0,30,0.0
24,0,30,0.0
25,0,30,0.0
26,0,30,0.0
27,1,30,0.03333333333333333
28,7,30,0.23333333333333334
29,12,30,0.4
30,0,30,0.0
31,16,30,0.5333333333333333
32,0,30,0.0
33,0,30,0.0
34,0,30,0.0
35,0,30,0.0
36,0,30,0.0
37,0,30,0.0
38,0,30,0.0
39,0,30,0.0
40,0,30,0.0
41,0,30,0.0
42,0,30,0.0
43,0,30,0.0
44,0,30,0.0
45,0,30,0.0
46,0,30,0.0
47,0,30,0.0
48,0,30,0.0
49,0,30,0.0
50,0,30,0.0
51,0,30,0.0
52,0,30,0.0
53,0,30,0.0
54,0,30,0.0
55,0,30,0.0
56,0,30,0.0
57,0,30,0.0
58,0,30,0.0
59,0,30,0.0
60,0,30,0.0
61,0,30,0.0
62,0,30,0.0
63,0,30,0.0
64,0,30,0.0
65,0,30,0.0
66,0,30,0.0
67,0,30,0.0
68,0,30,0.0
69,0,30,0.0
70,0,30,0.0
71,0,30,0.0
72,0,30,0.0
73,0,30,0.0
74,0,30,0.0
75,0,30,0.0
76,0,30,0.0
77,0,30,0.0
78,0,30,0.0
79,0,30,0.0
80,0,30,0.0
81,0,30,0.0
82,0,30,0.0
83,0,30,0.0
84,0,30,0.0
85,0,30,0.0
86,0,30,0.0
87,0,30,0.0
88,0,30,0.0
89,0,30,0.0
90,0,30,0.0
91,0,30,0.0
92,0,30,0.0
93,0,30,0.0
94,0,30,0.0
95,0,30,0.0
96,0,30,0.0
97,0,30,0.0
98,0,30,0.0
99,0,30,0.0
100,0,30,0.0
