Round,Index,True Label,Predict Label
1,0,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,1,"tensor(31, device='cuda:0')","tensor(18, device='cuda:0')"
1,2,"tensor(31, device='cuda:0')","tensor(18, device='cuda:0')"
1,3,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,4,"tensor(97, device='cuda:0')","tensor(31, device='cuda:0')"
1,5,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
1,6,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,7,"tensor(97, device='cuda:0')","tensor(90, device='cuda:0')"
1,8,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,9,"tensor(90, device='cuda:0')","tensor(31, device='cuda:0')"
1,10,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,11,"tensor(97, device='cuda:0')","tensor(90, device='cuda:0')"
1,12,"tensor(90, device='cuda:0')","tensor(31, device='cuda:0')"
1,13,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,14,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,15,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,16,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,17,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,18,"tensor(97, device='cuda:0')","tensor(90, device='cuda:0')"
1,19,"tensor(90, device='cuda:0')","tensor(97, device='cuda:0')"
1,20,"tensor(90, device='cuda:0')","tensor(97, device='cuda:0')"
1,21,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,22,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,23,"tensor(90, device='cuda:0')","tensor(31, device='cuda:0')"
1,24,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,25,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,26,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
1,27,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,28,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
1,29,"tensor(90, device='cuda:0')","tensor(97, device='cuda:0')"
2,0,"tensor(31, device='cuda:0')","tensor(18, device='cuda:0')"
2,1,"tensor(90, device='cuda:0')","tensor(97, device='cuda:0')"
2,2,"tensor(90, device='cuda:0')","tensor(31, device='cuda:0')"
2,3,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
2,4,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
2,5,"tensor(90, device='cuda:0')","tensor(97, device='cuda:0')"
2,6,"tensor(90, device='cuda:0')","tensor(31, device='cuda:0')"
2,7,"tensor(18, device='cuda:0')","tensor(31, device='cuda:0')"
2,8,"tensor(97, device='cuda:0')","tensor(31, device='cuda:0')"
2,9,"tensor(97, device='cuda:0')","tensor(31, device='cuda:0')"
2,10,"tensor(97, device='cuda:0')","tensor(31, device='cuda:0')"
2,11,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
2,12,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
2,13,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
2,14,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
2,15,"tensor(31, device='cuda:0')","tensor(97, device='cuda:0')"
2,16,"tensor(97, device='cuda:0')","tensor(31, device='cuda:0')"
2,17,"tensor(31, device='cuda:0')","tensor(18, device='cuda:0')"
2,18,"tensor(31, device='cuda:0')","tensor(90, device='cuda:0')"
