Round,Succ,All,Prob
1,30,30,1.0
2,30,30,1.0
3,0,30,0.0
4,12,30,0.4
5,30,30,1.0
6,30,30,1.0
7,30,30,1.0
8,0,30,0.0
9,9,30,0.3
10,30,30,1.0
11,30,30,1.0
12,30,30,1.0
13,12,30,0.4
14,30,30,1.0
15,10,30,0.3333333333333333
16,0,30,0.0
17,30,30,1.0
18,0,30,0.0
19,24,30,0.8
20,30,30,1.0
21,30,30,1.0
22,17,30,0.5666666666666667
23,6,30,0.2
24,30,30,1.0
25,0,30,0.0
26,30,30,1.0
27,30,30,1.0
28,0,30,0.0
29,0,30,0.0
30,30,30,1.0
31,12,30,0.4
32,7,30,0.23333333333333334
33,30,30,1.0
34,30,30,1.0
35,0,30,0.0
36,30,30,1.0
37,30,30,1.0
38,6,30,0.2
39,30,30,1.0
40,0,30,0.0
41,12,30,0.4
42,9,30,0.3
43,30,30,1.0
44,30,30,1.0
45,0,30,0.0
46,1,30,0.03333333333333333
47,0,30,0.0
48,30,30,1.0
49,30,30,1.0
50,9,30,0.3
51,30,30,1.0
52,30,30,1.0
53,30,30,1.0
54,7,30,0.23333333333333334
55,30,30,1.0
56,30,30,1.0
57,9,30,0.3
58,8,30,0.26666666666666666
59,30,30,1.0
60,30,30,1.0
61,30,30,1.0
62,30,30,1.0
63,8,30,0.26666666666666666
64,30,30,1.0
65,30,30,1.0
66,30,30,1.0
67,7,30,0.23333333333333334
68,10,30,0.3333333333333333
69,8,30,0.26666666666666666
70,30,30,1.0
71,30,30,1.0
72,30,30,1.0
73,30,30,1.0
74,11,30,0.36666666666666664
75,9,30,0.3
76,30,30,1.0
77,30,30,1.0
78,30,30,1.0
79,30,30,1.0
80,30,30,1.0
81,30,30,1.0
82,30,30,1.0
83,30,30,1.0
84,30,30,1.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
88,30,30,1.0
89,30,30,1.0
90,30,30,1.0
91,30,30,1.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,30,30,1.0
96,30,30,1.0
97,30,30,1.0
98,30,30,1.0
99,30,30,1.0
100,30,30,1.0
