"(Precision_Test, Precision_Attack)","(Device_Test, Device_Attack)","(Compile_Test(fallback_random, epilogue_fusion, shape_padding, dynamic), Compile_Attack(fallback_random, epilogue_fusion, shape_padding, dynamic))",Total_cnt,Same_cnt,Prob
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,2202,0.9995460735360872
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,1529,0.6940535633227417
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,1878,0.8524738992283251
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,1832,0.831593281888334
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,1118,0.507489786654562
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,2198,0.9977303676804358
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1736,0.7880163413527008
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,2196,0.9968225147526101
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,1816,0.8243304584657285
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,2189,0.9936450295052202
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,1355,0.6150703586019065
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,1903,0.8638220608261462
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,1626,0.7380844303222878
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,1405,0.6377666817975488
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,2172,0.9859282796187018
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,1929,0.8756241488878802
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,1973,0.8955969133000454
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1743,0.7911938266000907
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1680,0.7625964593735814
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,2127,0.9655015887426237
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,1813,0.82296867907399
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,2084,0.9459827507943713
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,1513,0.6867907399001362
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,2200,0.9986382206082615
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,2179,0.9891057648660917
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,2068,0.9387199273717658
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,1997,0.9064911484339537
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,1567,0.7113027689514299
