Round,Cnt,All,Prob
1,30,30,1.0
2,22,30,0.7333333333333333
3,24,30,0.8
4,30,30,1.0
5,0,30,0.0
6,27,30,0.9
7,17,30,0.5666666666666667
8,24,30,0.8
9,0,30,0.0
10,30,30,1.0
11,30,30,1.0
12,30,30,1.0
13,23,30,0.7666666666666667
14,0,30,0.0
15,30,30,1.0
16,15,30,0.5
17,0,30,0.0
18,30,30,1.0
19,21,30,0.7
20,30,30,1.0
21,0,30,0.0
22,30,30,1.0
23,27,30,0.9
24,0,30,0.0
25,19,30,0.6333333333333333
26,30,30,1.0
27,30,30,1.0
28,30,30,1.0
29,24,30,0.8
30,25,30,0.8333333333333334
31,28,30,0.9333333333333333
32,26,30,0.8666666666666667
33,0,30,0.0
34,30,30,1.0
35,30,30,1.0
36,30,30,1.0
37,0,30,0.0
38,30,30,1.0
39,0,30,0.0
40,30,30,1.0
41,30,30,1.0
42,0,30,0.0
43,30,30,1.0
44,30,30,1.0
45,25,30,0.8333333333333334
46,30,30,1.0
47,0,30,0.0
48,30,30,1.0
49,0,30,0.0
50,30,30,1.0
51,23,30,0.7666666666666667
52,30,30,1.0
53,21,30,0.7
54,0,30,0.0
55,30,30,1.0
56,30,30,1.0
57,26,30,0.8666666666666667
58,27,30,0.9
59,27,30,0.9
60,0,30,0.0
61,30,30,1.0
62,30,30,1.0
63,30,30,1.0
64,30,30,1.0
65,0,30,0.0
66,0,30,0.0
67,30,30,1.0
68,30,30,1.0
69,25,30,0.8333333333333334
70,0,30,0.0
71,30,30,1.0
72,30,30,1.0
73,30,30,1.0
74,20,30,0.6666666666666666
75,30,30,1.0
76,0,30,0.0
77,30,30,1.0
78,0,30,0.0
79,30,30,1.0
80,30,30,1.0
81,30,30,1.0
82,0,30,0.0
83,30,30,1.0
84,0,30,0.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
88,0,30,0.0
89,0,30,0.0
90,30,30,1.0
91,30,30,1.0
92,0,30,0.0
93,30,30,1.0
94,30,30,1.0
95,30,30,1.0
96,0,30,0.0
97,30,30,1.0
98,0,30,0.0
99,30,30,1.0
100,30,30,1.0
