Round,Attack,Sample_Index,Sample_Path,Seed_Path,"(Seed_label, Sample_label)"
2,Universal,0,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_0.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_PGD_sample_12.npy,"(56, 90)"
2,Universal,1,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_1.npy,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_4.npy,"(70, 57)"
2,Universal,2,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_2.npy,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_18.npy,"(90, 90)"
2,Universal,3,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_3.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_FGM_sample_10.npy,"(9, 90)"
2,Universal,4,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_4.npy,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_3.npy,"(56, 6)"
2,Universal,5,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_5.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_Universal_sample_3.npy,"(56, 88)"
2,Universal,6,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_6.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_FGM_sample_7.npy,"(56, 88)"
2,Universal,7,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_7.npy,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_21.npy,"(56, 88)"
3,DeepFool,0,PyTorch/TorchDenseNet/adversarial_samples/round_3_attack_DeepFool_sample_0.npy,PyTorch/TorchDenseNet/adversarial_samples/round_2_attack_Universal_sample_21.npy,"(90, 70)"
3,DeepFool,1,PyTorch/TorchDenseNet/adversarial_samples/round_3_attack_DeepFool_sample_1.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_Universal_sample_29.npy,"(70, 9)"
