Round,Cnt,All,Prob
1,0,30,0.0
2,8,30,0.26666666666666666
3,6,30,0.2
4,0,30,0.0
5,30,30,1.0
6,3,30,0.1
7,13,30,0.43333333333333335
8,6,30,0.2
9,30,30,1.0
10,0,30,0.0
11,0,30,0.0
12,0,30,0.0
13,7,30,0.23333333333333334
14,30,30,1.0
15,0,30,0.0
16,15,30,0.5
17,30,30,1.0
18,0,30,0.0
19,9,30,0.3
20,0,30,0.0
21,30,30,1.0
22,0,30,0.0
23,3,30,0.1
24,30,30,1.0
25,11,30,0.36666666666666664
26,0,30,0.0
27,0,30,0.0
28,0,30,0.0
29,6,30,0.2
30,5,30,0.16666666666666666
31,2,30,0.06666666666666667
32,4,30,0.13333333333333333
33,30,30,1.0
34,0,30,0.0
35,0,30,0.0
36,0,30,0.0
37,30,30,1.0
38,0,30,0.0
39,30,30,1.0
40,0,30,0.0
41,0,30,0.0
42,30,30,1.0
43,0,30,0.0
44,0,30,0.0
45,5,30,0.16666666666666666
46,0,30,0.0
47,30,30,1.0
48,0,30,0.0
49,30,30,1.0
50,0,30,0.0
51,7,30,0.23333333333333334
52,0,30,0.0
53,9,30,0.3
54,30,30,1.0
55,0,30,0.0
56,0,30,0.0
57,4,30,0.13333333333333333
58,3,30,0.1
59,3,30,0.1
60,30,30,1.0
61,0,30,0.0
62,0,30,0.0
63,0,30,0.0
64,0,30,0.0
65,30,30,1.0
66,30,30,1.0
67,0,30,0.0
68,0,30,0.0
69,5,30,0.16666666666666666
70,30,30,1.0
71,0,30,0.0
72,0,30,0.0
73,0,30,0.0
74,10,30,0.3333333333333333
75,0,30,0.0
76,30,30,1.0
77,0,30,0.0
78,30,30,1.0
79,0,30,0.0
80,0,30,0.0
81,0,30,0.0
82,30,30,1.0
83,0,30,0.0
84,30,30,1.0
85,0,30,0.0
86,0,30,0.0
87,0,30,0.0
88,30,30,1.0
89,30,30,1.0
90,0,30,0.0
91,0,30,0.0
92,30,30,1.0
93,0,30,0.0
94,0,30,0.0
95,0,30,0.0
96,30,30,1.0
97,0,30,0.0
98,30,30,1.0
99,0,30,0.0
100,0,30,0.0
