Round,Attack,Sample_Index,Sample_Path,Seed_Path
1,PGD,0,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_0.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_FGM_sample_14.npy
1,PGD,1,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_1.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_FGM_sample_11.npy
1,PGD,2,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_2.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_DeepFool_sample_28.npy
1,PGD,3,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_3.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_PGD_sample_21.npy
1,PGD,4,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_4.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_Universal_sample_4.npy
1,PGD,5,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_5.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_DeepFool_sample_26.npy
1,PGD,6,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_6.npy,PyTorch/TorchDenseNet/adversarial_samples/seed_data/initial_seed_data.npy
1,PGD,7,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_7.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_FGM_sample_27.npy
1,PGD,8,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_8.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_Universal_sample_13.npy
1,PGD,9,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_9.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_DeepFool_sample_2.npy
1,PGD,10,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_10.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_DeepFool_sample_25.npy
1,PGD,11,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_11.npy,PyTorch/TorchDenseNet/adversarial_samples/seed_data/initial_seed_data.npy
1,PGD,12,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_12.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_Universal_sample_14.npy
1,PGD,13,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_13.npy,PyTorch/TorchDenseNet/adversarial_samples/seed_data/initial_seed_data.npy
1,PGD,14,PyTorch/TorchDenseNet/adversarial_samples/round_1_attack_PGD_sample_14.npy,PyTorch/TorchDenseNet/adversarial_samples/round_0_attack_FGM_sample_22.npy
