Round,Index,True Label,Predict Label
1,0,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
1,1,"tensor(70, device='cuda:0')","tensor(81, device='cuda:0')"
1,2,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,3,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
1,4,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,5,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,6,"tensor(20, device='cuda:0')","tensor(89, device='cuda:0')"
1,7,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
1,8,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,9,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,10,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,11,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
1,12,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,13,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
1,14,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
1,15,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
1,16,"tensor(89, device='cuda:0')","tensor(83, device='cuda:0')"
1,17,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
1,18,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
1,19,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
1,20,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
1,21,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,22,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
1,23,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
1,24,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,25,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
1,26,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,27,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
1,28,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
1,29,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
2,0,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
2,1,"tensor(20, device='cuda:0')","tensor(89, device='cuda:0')"
2,2,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
2,3,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
2,4,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
2,5,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
2,6,"tensor(81, device='cuda:0')","tensor(83, device='cuda:0')"
2,7,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
2,8,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
2,9,"tensor(70, device='cuda:0')","tensor(89, device='cuda:0')"
2,10,"tensor(81, device='cuda:0')","tensor(7, device='cuda:0')"
2,11,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
2,12,"tensor(81, device='cuda:0')","tensor(83, device='cuda:0')"
2,13,"tensor(89, device='cuda:0')","tensor(79, device='cuda:0')"
2,14,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
2,15,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
2,16,"tensor(89, device='cuda:0')","tensor(81, device='cuda:0')"
2,17,"tensor(89, device='cuda:0')","tensor(81, device='cuda:0')"
2,18,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
2,19,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
2,20,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
2,21,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
2,22,"tensor(83, device='cuda:0')","tensor(81, device='cuda:0')"
2,23,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
2,24,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
2,25,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
2,26,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
2,27,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
2,28,"tensor(89, device='cuda:0')","tensor(70, device='cuda:0')"
2,29,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
3,0,"tensor(20, device='cuda:0')","tensor(83, device='cuda:0')"
3,1,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
3,2,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
3,3,"tensor(83, device='cuda:0')","tensor(89, device='cuda:0')"
3,4,"tensor(89, device='cuda:0')","tensor(70, device='cuda:0')"
3,5,"tensor(20, device='cuda:0')","tensor(83, device='cuda:0')"
3,6,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
3,7,"tensor(70, device='cuda:0')","tensor(20, device='cuda:0')"
3,8,"tensor(89, device='cuda:0')","tensor(70, device='cuda:0')"
3,9,"tensor(83, device='cuda:0')","tensor(20, device='cuda:0')"
3,10,"tensor(79, device='cuda:0')","tensor(20, device='cuda:0')"
3,11,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
3,12,"tensor(89, device='cuda:0')","tensor(70, device='cuda:0')"
3,13,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
3,14,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
3,15,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
3,16,"tensor(83, device='cuda:0')","tensor(89, device='cuda:0')"
3,17,"tensor(20, device='cuda:0')","tensor(89, device='cuda:0')"
3,18,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
3,19,"tensor(70, device='cuda:0')","tensor(89, device='cuda:0')"
3,20,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
3,21,"tensor(20, device='cuda:0')","tensor(70, device='cuda:0')"
3,22,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
3,23,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
3,24,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
3,25,"tensor(20, device='cuda:0')","tensor(70, device='cuda:0')"
3,26,"tensor(20, device='cuda:0')","tensor(70, device='cuda:0')"
3,27,"tensor(70, device='cuda:0')","tensor(89, device='cuda:0')"
3,28,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
3,29,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
4,0,"tensor(89, device='cuda:0')","tensor(5, device='cuda:0')"
4,1,"tensor(20, device='cuda:0')","tensor(79, device='cuda:0')"
4,3,"tensor(20, device='cuda:0')","tensor(79, device='cuda:0')"
4,4,"tensor(20, device='cuda:0')","tensor(5, device='cuda:0')"
4,5,"tensor(81, device='cuda:0')","tensor(69, device='cuda:0')"
4,6,"tensor(20, device='cuda:0')","tensor(88, device='cuda:0')"
4,7,"tensor(20, device='cuda:0')","tensor(88, device='cuda:0')"
4,8,"tensor(70, device='cuda:0')","tensor(88, device='cuda:0')"
4,9,"tensor(89, device='cuda:0')","tensor(70, device='cuda:0')"
4,10,"tensor(70, device='cuda:0')","tensor(79, device='cuda:0')"
4,14,"tensor(81, device='cuda:0')","tensor(83, device='cuda:0')"
4,15,"tensor(70, device='cuda:0')","tensor(7, device='cuda:0')"
4,16,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
4,18,"tensor(81, device='cuda:0')","tensor(79, device='cuda:0')"
4,19,"tensor(83, device='cuda:0')","tensor(7, device='cuda:0')"
4,21,"tensor(81, device='cuda:0')","tensor(88, device='cuda:0')"
4,22,"tensor(81, device='cuda:0')","tensor(88, device='cuda:0')"
4,23,"tensor(70, device='cuda:0')","tensor(83, device='cuda:0')"
4,24,"tensor(81, device='cuda:0')","tensor(7, device='cuda:0')"
4,25,"tensor(81, device='cuda:0')","tensor(88, device='cuda:0')"
4,26,"tensor(20, device='cuda:0')","tensor(83, device='cuda:0')"
4,27,"tensor(20, device='cuda:0')","tensor(79, device='cuda:0')"
4,29,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
6,0,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
6,1,"tensor(20, device='cuda:0')","tensor(89, device='cuda:0')"
6,2,"tensor(89, device='cuda:0')","tensor(20, device='cuda:0')"
6,3,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
6,4,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
6,5,"tensor(20, device='cuda:0')","tensor(70, device='cuda:0')"
6,6,"tensor(81, device='cuda:0')","tensor(70, device='cuda:0')"
6,7,"tensor(89, device='cuda:0')","tensor(83, device='cuda:0')"
6,8,"tensor(89, device='cuda:0')","tensor(70, device='cuda:0')"
6,9,"tensor(70, device='cuda:0')","tensor(81, device='cuda:0')"
6,10,"tensor(20, device='cuda:0')","tensor(81, device='cuda:0')"
6,11,"tensor(81, device='cuda:0')","tensor(89, device='cuda:0')"
6,12,"tensor(83, device='cuda:0')","tensor(81, device='cuda:0')"
6,13,"tensor(81, device='cuda:0')","tensor(20, device='cuda:0')"
