Round,Succ,All,Prob
1,30,30,1.0
2,30,30,1.0
3,30,30,1.0
4,23,30,0.7666666666666667
5,0,30,0.0
6,30,30,1.0
7,20,30,0.6666666666666666
8,30,30,1.0
9,30,30,1.0
10,0,30,0.0
11,30,30,1.0
12,0,30,0.0
13,30,30,1.0
14,30,30,1.0
15,30,30,1.0
16,0,30,0.0
17,30,30,1.0
18,30,30,1.0
19,30,30,1.0
20,29,30,0.9666666666666667
21,30,30,1.0
22,0,30,0.0
23,0,30,0.0
24,26,30,0.8666666666666667
25,30,30,1.0
26,30,30,1.0
27,30,30,1.0
28,26,30,0.8666666666666667
29,30,30,1.0
30,0,30,0.0
31,0,30,0.0
32,27,30,0.9
33,0,30,0.0
34,29,30,0.9666666666666667
35,0,30,0.0
36,27,30,0.9
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,30,30,1.0
41,30,30,1.0
42,30,30,1.0
43,30,30,1.0
44,22,30,0.7333333333333333
45,0,30,0.0
46,30,30,1.0
47,30,30,1.0
48,30,30,1.0
49,24,30,0.8
50,28,30,0.9333333333333333
51,23,30,0.7666666666666667
52,0,30,0.0
53,30,30,1.0
54,30,30,1.0
55,0,30,0.0
56,30,30,1.0
57,30,30,1.0
58,0,30,0.0
59,30,30,1.0
60,30,30,1.0
61,25,30,0.8333333333333334
62,30,30,1.0
63,30,30,1.0
64,22,30,0.7333333333333333
65,0,30,0.0
66,0,30,0.0
67,0,30,0.0
68,30,30,1.0
69,30,30,1.0
70,30,30,1.0
71,0,30,0.0
72,30,30,1.0
73,30,30,1.0
74,30,30,1.0
75,0,30,0.0
76,30,30,1.0
77,0,30,0.0
78,30,30,1.0
79,30,30,1.0
80,0,30,0.0
81,30,30,1.0
82,30,30,1.0
83,0,30,0.0
84,30,30,1.0
85,30,30,1.0
86,30,30,1.0
87,0,30,0.0
88,0,30,0.0
89,30,30,1.0
90,30,30,1.0
91,30,30,1.0
92,30,30,1.0
93,0,30,0.0
94,30,30,1.0
95,30,30,1.0
96,0,30,0.0
97,30,30,1.0
98,30,30,1.0
99,0,30,0.0
100,30,30,1.0
