Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
1,Universal,0,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_0.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_6.npy,"tensor(96, device='cuda:1')","tensor(1, device='cuda:1')"
1,Universal,1,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_1.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_12.npy,"tensor(96, device='cuda:1')","tensor(8, device='cuda:1')"
1,Universal,2,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_2.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_8.npy,"tensor(96, device='cuda:1')","tensor(1, device='cuda:1')"
1,Universal,3,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_3.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_26.npy,"tensor(96, device='cuda:1')","tensor(1, device='cuda:1')"
1,Universal,4,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_4.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_12.npy,"tensor(8, device='cuda:1')","tensor(8, device='cuda:1')"
1,Universal,5,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_5.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_28.npy,"tensor(96, device='cuda:1')","tensor(79, device='cuda:1')"
1,Universal,6,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_6.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_23.npy,"tensor(8, device='cuda:1')","tensor(72, device='cuda:1')"
1,Universal,7,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_7.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_3.npy,"tensor(8, device='cuda:1')","tensor(1, device='cuda:1')"
1,Universal,8,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_8.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_1.npy,"tensor(96, device='cuda:1')","tensor(8, device='cuda:1')"
1,Universal,9,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_9.npy,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_9.npy,"tensor(26, device='cuda:1')","tensor(8, device='cuda:1')"
