Round,Cnt,All,Prob
1,22,30,0.7333333333333333
2,30,30,1.0
3,21,30,0.7
4,0,30,0.0
5,30,30,1.0
6,18,30,0.6
7,0,30,0.0
8,22,30,0.7333333333333333
9,24,30,0.8
10,12,30,0.4
11,30,30,1.0
12,30,30,1.0
13,18,30,0.6
14,30,30,1.0
15,0,30,0.0
16,30,30,1.0
17,14,30,0.4666666666666667
18,0,30,0.0
19,30,30,1.0
20,30,30,1.0
21,30,30,1.0
22,30,30,1.0
23,8,30,0.26666666666666666
24,19,30,0.6333333333333333
25,30,30,1.0
26,18,30,0.6
27,0,30,0.0
28,0,30,0.0
29,25,30,0.8333333333333334
30,30,30,1.0
31,1,30,0.03333333333333333
32,7,30,0.23333333333333334
33,13,30,0.43333333333333335
34,12,30,0.4
35,0,30,0.0
36,30,30,1.0
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,30,30,1.0
41,30,30,1.0
42,15,30,0.5
43,16,30,0.5333333333333333
44,8,30,0.26666666666666666
45,30,30,1.0
46,30,30,1.0
47,30,30,1.0
48,30,30,1.0
49,30,30,1.0
50,30,30,1.0
51,30,30,1.0
52,30,30,1.0
53,30,30,1.0
54,30,30,1.0
55,30,30,1.0
56,30,30,1.0
57,30,30,1.0
58,30,30,1.0
59,30,30,1.0
60,30,30,1.0
61,30,30,1.0
62,30,30,1.0
63,30,30,1.0
64,30,30,1.0
65,30,30,1.0
66,30,30,1.0
67,30,30,1.0
68,30,30,1.0
69,30,30,1.0
70,30,30,1.0
71,30,30,1.0
72,30,30,1.0
73,30,30,1.0
74,30,30,1.0
75,30,30,1.0
76,30,30,1.0
77,30,30,1.0
78,30,30,1.0
79,30,30,1.0
80,30,30,1.0
81,30,30,1.0
82,30,30,1.0
83,30,30,1.0
84,30,30,1.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
88,30,30,1.0
89,30,30,1.0
90,30,30,1.0
91,30,30,1.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,30,30,1.0
96,30,30,1.0
97,30,30,1.0
98,30,30,1.0
99,30,30,1.0
100,30,30,1.0
