Indices,Seed_path,Sample_path,"(Seed_label, Sample_label)","(Cur_Seed_label, Cur_Sample_label)"
3,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_26.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_3.npy,"(tensor(96, device='cuda:1'),tensor(1, device='cuda:1'))","(93, 93"
6,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_23.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_6.npy,"(tensor(8, device='cuda:1'),tensor(72, device='cuda:1'))","(93, 93"
7,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_3.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_7.npy,"(tensor(8, device='cuda:1'),tensor(1, device='cuda:1'))","(73, 73"
8,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_1.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_8.npy,"(tensor(96, device='cuda:1'),tensor(8, device='cuda:1'))","(93, 93"
11,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_24.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_11.npy,"(tensor(96, device='cuda:1'),tensor(1, device='cuda:1'))","(73, 73"
12,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_26.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_12.npy,"(tensor(8, device='cuda:1'),tensor(68, device='cuda:1'))","(93, 93"
13,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_PGD_sample_14.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_13.npy,"(tensor(8, device='cuda:1'),tensor(72, device='cuda:1'))","(73, 73"
14,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_PGD_sample_23.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_14.npy,"(tensor(8, device='cuda:1'),tensor(72, device='cuda:1'))","(93, 93"
15,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_24.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_15.npy,"(tensor(8, device='cuda:1'),tensor(68, device='cuda:1'))","(73, 73"
16,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_19.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_16.npy,"(tensor(8, device='cuda:1'),tensor(68, device='cuda:1'))","(93, 93"
17,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_17.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_17.npy,"(tensor(96, device='cuda:1'),tensor(1, device='cuda:1'))","(93, 93"
18,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_29.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_18.npy,"(tensor(96, device='cuda:1'),tensor(1, device='cuda:1'))","(73, 73"
19,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_PGD_sample_26.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_19.npy,"(tensor(8, device='cuda:1'),tensor(72, device='cuda:1'))","(93, 93"
20,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_15.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_20.npy,"(tensor(8, device='cuda:1'),tensor(8, device='cuda:1'))","(93, 93"
21,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_28.npy,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_21.npy,"(tensor(96, device='cuda:1'),tensor(79, device='cuda:1'))","(93, 93"
24,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_FGM_sample_17.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_2.npy,"(tensor(96, device='cuda:1'),tensor(72, device='cuda:1'))","(93, 93"
29,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_1.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_7.npy,"(tensor(14, device='cuda:1'),tensor(26, device='cuda:1'))","(93, 93"
32,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_DeepFool_sample_14.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_10.npy,"(tensor(96, device='cuda:1'),tensor(1, device='cuda:1'))","(93, 93"
34,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_PGD_sample_15.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_12.npy,"(tensor(1, device='cuda:1'),tensor(8, device='cuda:1'))","(73, 73"
35,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_PGD_sample_20.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_13.npy,"(tensor(1, device='cuda:1'),tensor(8, device='cuda:1'))","(93, 93"
36,PyTorch/TorchLeNet5/adversarial_samples/round_1_attack_Universal_sample_0.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_14.npy,"(tensor(8, device='cuda:1'),tensor(96, device='cuda:1'))","(93, 93"
38,PyTorch/TorchLeNet5/adversarial_samples/round_0_attack_Universal_sample_15.npy,PyTorch/TorchLeNet5/adversarial_samples/round_2_attack_FGM_sample_16.npy,"(tensor(96, device='cuda:1'),tensor(1, device='cuda:1'))","(93, 93"
