"(Precision_Test, Precision_Attack)","(Device_Test, Device_Attack)","(Compile_Test(fallback_random, epilogue_fusion, shape_padding, dynamic), Compile_Attack(fallback_random, epilogue_fusion, shape_padding, dynamic))",Still_cnt,label_change_cnt,Prob
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",67,67,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",551,551,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",877,877,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",1121,1121,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",604,604,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",693,693,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",819,819,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",1171,1171,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",218,218,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",1511,1511,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",667,667,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",1087,1087,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",916,916,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",1052,1052,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",28,28,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",1368,1368,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",224,224,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",16,16,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",1061,1061,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",1337,1337,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",1175,1175,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",1567,1567,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",820,820,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",92,92,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",937,937,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",717,717,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",782,782,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",1373,1373,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",887,887,1.0
