"(Precision_Test, Precision_Attack)","(Device_Test, Device_Attack)","(Compile_Test(fallback_random, epilogue_fusion, shape_padding, dynamic), Compile_Attack(fallback_random, epilogue_fusion, shape_padding, dynamic))",Total_cnt,Same_cnt,Prob
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2513,2446,0.9733386390768006
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2513,1962,0.7807401512136888
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2513,1636,0.6510147234381217
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2513,1392,0.5539196179864704
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2513,1909,0.759649820931158
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2513,1820,0.724233983286908
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2513,1694,0.6740947075208914
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2513,1342,0.5340230799840827
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2513,2295,0.9132510943095902
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2513,1002,0.3987266215678472
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2513,1846,0.7345801830481496
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2513,1426,0.5674492638280939
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2513,1597,0.6354954237962595
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2513,2513,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2513,1461,0.5813768404297652
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2513,2485,0.9888579387186629
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2513,1145,0.4556307202546757
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2513,2289,0.9108635097493036
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2513,2497,0.993633107839236
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2513,1452,0.5777954635893354
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2513,1176,0.467966573816156
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2513,1338,0.5324313569438918
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2513,946,0.3764424990051731
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2513,1693,0.6736967767608436
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2513,2421,0.9633903700756068
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2513,1576,0.6271388778352567
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2513,1796,0.714683645045762
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2513,1731,0.6888181456426582
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2513,1140,0.4536410664544369
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2513,1626,0.6470354158376442
