Round,Cnt,All,Prob
1,8,30,0.26666666666666666
2,0,30,0.0
3,9,30,0.3
4,30,30,1.0
5,0,30,0.0
6,12,30,0.4
7,30,30,1.0
8,8,30,0.26666666666666666
9,6,30,0.2
10,18,30,0.6
11,0,30,0.0
12,0,30,0.0
13,12,30,0.4
14,0,30,0.0
15,30,30,1.0
16,0,30,0.0
17,16,30,0.5333333333333333
18,30,30,1.0
19,0,30,0.0
20,0,30,0.0
21,0,30,0.0
22,0,30,0.0
23,22,30,0.7333333333333333
24,11,30,0.36666666666666664
25,0,30,0.0
26,12,30,0.4
27,30,30,1.0
28,30,30,1.0
29,5,30,0.16666666666666666
30,0,30,0.0
31,29,30,0.9666666666666667
32,23,30,0.7666666666666667
33,17,30,0.5666666666666667
34,18,30,0.6
35,30,30,1.0
36,0,30,0.0
37,0,30,0.0
38,0,30,0.0
39,0,30,0.0
40,0,30,0.0
41,0,30,0.0
42,15,30,0.5
43,14,30,0.4666666666666667
44,22,30,0.7333333333333333
45,0,30,0.0
46,0,30,0.0
47,0,30,0.0
48,0,30,0.0
49,0,30,0.0
50,0,30,0.0
51,0,30,0.0
52,0,30,0.0
53,0,30,0.0
54,0,30,0.0
55,0,30,0.0
56,0,30,0.0
57,0,30,0.0
58,0,30,0.0
59,0,30,0.0
60,0,30,0.0
61,0,30,0.0
62,0,30,0.0
63,0,30,0.0
64,0,30,0.0
65,0,30,0.0
66,0,30,0.0
67,0,30,0.0
68,0,30,0.0
69,0,30,0.0
70,0,30,0.0
71,0,30,0.0
72,0,30,0.0
73,0,30,0.0
74,0,30,0.0
75,0,30,0.0
76,0,30,0.0
77,0,30,0.0
78,0,30,0.0
79,0,30,0.0
80,0,30,0.0
81,0,30,0.0
82,0,30,0.0
83,0,30,0.0
84,0,30,0.0
85,0,30,0.0
86,0,30,0.0
87,0,30,0.0
88,0,30,0.0
89,0,30,0.0
90,0,30,0.0
91,0,30,0.0
92,0,30,0.0
93,0,30,0.0
94,0,30,0.0
95,0,30,0.0
96,0,30,0.0
97,0,30,0.0
98,0,30,0.0
99,0,30,0.0
100,0,30,0.0
