"(Precision_Test, Precision_Attack)","(Device_Test, Device_Attack)","(Compile_Test(fallback_random, epilogue_fusion, shape_padding, dynamic), Compile_Attack((fallback_random, epilogue_fusion, shape_padding, dynamic)))",Total_cnt,Same_cnt,Prob
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,0000)",2816,2161,0.7674005681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,1000)",2816,1491,0.5294744318181818
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,0000)",2816,1217,0.43217329545454547
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,1000)",2816,1566,0.5561079545454546
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0001)",2816,1348,0.4786931818181818
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0101)",2816,1347,0.4783380681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0001)",2816,2505,0.8895596590909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0101)",2816,2357,0.8370028409090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0100)",2816,1875,0.6658380681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0110)",2816,2787,0.9897017045454546
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0100)",2816,2175,0.7723721590909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,1092,0.3877840909090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,1553,0.5514914772727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0111)",2816,1532,0.5440340909090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0110)",2816,962,0.3416193181818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0111)",2816,1631,0.5791903409090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,0000)",2816,1058,0.3757102272727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,1000)",2816,769,0.27308238636363635
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,0000)",2816,1731,0.6147017045454546
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,1000)",2816,2334,0.8288352272727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0001)",2816,1204,0.4275568181818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0101)",2816,2337,0.8299005681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0001)",2816,2816,1.0
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0101)",2816,929,0.3299005681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0100)",2816,2257,0.8014914772727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0110)",2816,2769,0.9833096590909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0100)",2816,1645,0.5841619318181818
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,2622,0.9311079545454546
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,986,0.35014204545454547
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0111)",2816,1108,0.3934659090909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0110)",2816,1315,0.4669744318181818
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0111)",2816,997,0.35404829545454547
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,0000)",2816,1565,0.5557528409090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,1000)",2816,1451,0.5152698863636364
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,0000)",2816,2645,0.9392755681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,1000)",2816,1724,0.6122159090909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0001)",2816,1387,0.49254261363636365
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0101)",2816,1981,0.7034801136363636
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0001)",2816,2318,0.8231534090909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0101)",2816,2623,0.9314630681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0100)",2816,1192,0.42329545454545453
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0110)",2816,2506,0.8899147727272727
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0100)",2816,2719,0.9655539772727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,2162,0.7677556818181818
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,1936,0.6875
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0111)",2816,1550,0.5504261363636364
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0110)",2816,2001,0.7105823863636364
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0111)",2816,2314,0.8217329545454546
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,0000)",2816,1428,0.5071022727272727
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,1000)",2816,2783,0.98828125
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,0000)",2816,1159,0.41157670454545453
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,1000)",2816,2629,0.93359375
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0001)",2816,1792,0.6363636363636364
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0101)",2816,2633,0.9350142045454546
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0001)",2816,1277,0.45348011363636365
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0101)",2816,836,0.296875
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0100)",2816,1589,0.5642755681818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0110)",2816,2386,0.8473011363636364
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0100)",2816,1169,0.4151278409090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,2816,1.0
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,1494,0.5305397727272727
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0111)",2816,994,0.35298295454545453
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0110)",2816,2816,1.0
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0111)",2816,2808,0.9971590909090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,0000)",2816,2374,0.8430397727272727
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,1000)",2816,2580,0.9161931818181818
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,0000)",2816,1863,0.6615767045454546
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,1000)",2816,2813,0.9989346590909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0001)",2816,2532,0.8991477272727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0101)",2816,2507,0.8902698863636364
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0001)",2816,2766,0.9822443181818182
"(fp64,fp64)","(cuda:1,cuda:1)","(0101,0101)",2816,2653,0.9421164772727273
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0100)",2816,2816,1.0
"(fp64,fp64)","(cuda:1,cuda:1)","(0100,0110)",2816,1295,0.4598721590909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0100)",2816,1890,0.6711647727272727
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,1724,0.6122159090909091
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0110)",2816,2115,0.7510653409090909
"(fp64,fp64)","(cuda:1,cuda:1)","(0110,0111)",2816,2816,1.0
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0110)",2816,2611,0.9272017045454546
"(fp64,fp64)","(cuda:1,cuda:1)","(0111,0111)",2816,2816,1.0
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,0000)",2816,2299,0.81640625
"(fp64,fp64)","(cuda:1,cuda:1)","(0000,1000)",2816,2224,0.7897727272727273
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,0000)",2816,2343,0.83203125
"(fp64,fp64)","(cuda:1,cuda:1)","(1000,1000)",2816,1783,0.6331676136363636
"(fp64,fp64)","(cuda:1,cuda:1)","(0001,0001)",2816,1391,0.4939630681818182
