Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
1,Universal,0,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_0.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_24.npy,"tensor(84, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,1,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_1.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_12.npy,"tensor(30, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,2,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_2.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_4.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,3,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_3.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_7.npy,"tensor(17, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,4,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_4.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_17.npy,"tensor(12, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,5,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_5.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(36, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,6,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_6.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_16.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,7,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_7.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_6.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,8,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_8.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_16.npy,"tensor(33, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,9,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_9.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_28.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,10,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_10.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_27.npy,"tensor(33, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,11,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_11.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_29.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,12,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_12.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_4.npy,"tensor(56, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,13,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_13.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_22.npy,"tensor(23, device='cuda:0')","tensor(84, device='cuda:0')"
