Round,Cnt,All,Prob
1,29,30,0.9666666666666667
2,30,30,1.0
60,0,30,0.0
61,30,30,1.0
62,30,30,1.0
3,0,30,0.0
4,10,30,0.3333333333333333
5,30,30,1.0
63,0,30,0.0
64,30,30,1.0
65,30,30,1.0
6,9,30,0.3
7,30,30,1.0
8,30,30,1.0
66,0,30,0.0
67,30,30,1.0
68,30,30,1.0
69,0,30,0.0
70,30,30,1.0
71,30,30,1.0
72,30,30,1.0
9,17,30,0.5666666666666667
73,0,30,0.0
74,30,30,1.0
75,30,30,1.0
76,30,30,1.0
10,0,30,0.0
77,0,30,0.0
78,30,30,1.0
79,30,30,1.0
80,0,30,0.0
11,7,30,0.23333333333333334
12,30,30,1.0
13,30,30,1.0
81,0,30,0.0
82,30,30,1.0
83,30,30,1.0
84,0,30,0.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
14,22,30,0.7333333333333333
88,0,30,0.0
89,30,30,1.0
90,30,30,1.0
15,8,30,0.26666666666666666
16,30,30,1.0
91,0,30,0.0
92,30,30,1.0
93,30,30,1.0
94,0,30,0.0
95,30,30,1.0
96,30,30,1.0
97,30,30,1.0
98,0,30,0.0
99,30,30,1.0
100,0,30,0.0
17,11,30,0.36666666666666664
18,23,30,0.7666666666666667
19,18,30,0.6
20,30,30,1.0
21,10,30,0.3333333333333333
22,30,30,1.0
23,9,30,0.3
24,0,30,0.0
25,0,30,0.0
26,30,30,1.0
27,30,30,1.0
28,0,30,0.0
29,30,30,1.0
30,0,30,0.0
31,8,30,0.26666666666666666
32,30,30,1.0
33,0,30,0.0
34,30,30,1.0
35,0,30,0.0
36,7,30,0.23333333333333334
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,8,30,0.26666666666666666
41,30,30,1.0
42,7,30,0.23333333333333334
43,30,30,1.0
44,0,30,0.0
45,30,30,1.0
46,0,30,0.0
47,12,30,0.4
48,6,30,0.2
49,30,30,1.0
50,0,30,0.0
51,30,30,1.0
52,30,30,1.0
53,30,30,1.0
54,0,30,0.0
55,30,30,1.0
56,0,30,0.0
57,30,30,1.0
58,30,30,1.0
59,30,30,1.0
60,0,30,0.0
61,0,30,0.0
62,30,30,1.0
63,30,30,1.0
64,30,30,1.0
65,0,30,0.0
66,30,30,1.0
67,30,30,1.0
68,30,30,1.0
69,0,30,0.0
70,30,30,1.0
71,0,30,0.0
72,30,30,1.0
73,30,30,1.0
74,30,30,1.0
75,0,30,0.0
76,30,30,1.0
77,0,30,0.0
78,30,30,1.0
79,0,30,0.0
80,30,30,1.0
81,30,30,1.0
82,0,30,0.0
83,30,30,1.0
84,29,30,0.9666666666666667
85,30,30,1.0
86,29,30,0.9666666666666667
87,0,30,0.0
88,30,30,1.0
89,0,30,0.0
90,30,30,1.0
91,0,30,0.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,29,30,0.9666666666666667
96,0,30,0.0
97,0,30,0.0
98,30,30,1.0
99,0,30,0.0
100,30,30,1.0
