Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
1,Universal,0,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_0.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,1,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_1.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(30, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,2,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_2.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_22.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,3,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_3.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_9.npy,"tensor(17, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,4,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_4.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_28.npy,"tensor(12, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,5,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_5.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_10.npy,"tensor(36, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,6,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_6.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_29.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,7,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_7.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,8,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_8.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_1.npy,"tensor(33, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,9,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_9.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_2.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
1,Universal,10,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_10.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(33, device='cuda:0')","tensor(84, device='cuda:0')"
1,Universal,11,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_11.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_14.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,0,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_0.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_FGM_sample_23.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,1,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_1.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,2,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_2.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_24.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,3,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_3.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_22.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,4,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_4.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,5,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_5.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_3_attack_PGD_sample_3.npy,"tensor(82, device='cuda:0')","tensor(82, device='cuda:0')"
4,CW,6,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_6.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_13.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,7,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_7.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_25.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,8,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_8.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,9,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_9.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_4.npy,"tensor(36, device='cuda:0')","tensor(36, device='cuda:0')"
4,CW,10,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_10.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,11,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_11.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_3_attack_PGD_sample_18.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,12,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_12.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_FGM_sample_9.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,13,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_13.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_0.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,14,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_14.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_1.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,15,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_15.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_3_attack_PGD_sample_5.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,16,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_16.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_2.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,17,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_17.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_FGM_sample_3.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,18,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_18.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,19,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_19.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_21.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,20,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_20.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_7.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,21,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_21.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_3_attack_PGD_sample_6.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,22,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_22.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_17.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,23,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_23.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_20.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,24,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_24.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_3_attack_PGD_sample_0.npy,"tensor(82, device='cuda:0')","tensor(82, device='cuda:0')"
4,CW,25,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_25.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_Universal_sample_11.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,26,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_26.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
4,CW,27,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_27.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,28,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_28.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_26.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
4,CW,29,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_4_attack_CW_sample_29.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(84, device='cuda:0')","tensor(84, device='cuda:0')"
5,DeepFool,0,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_5_attack_DeepFool_sample_0.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_FGM_sample_18.npy,"tensor(33, device='cuda:0')","tensor(33, device='cuda:0')"
