Round,Cnt,All,Prob
1,1,30,0.03333333333333333
2,0,30,0.0
60,30,30,1.0
61,0,30,0.0
62,0,30,0.0
3,30,30,1.0
4,20,30,0.6666666666666666
5,0,30,0.0
63,30,30,1.0
64,0,30,0.0
65,0,30,0.0
6,21,30,0.7
7,0,30,0.0
8,0,30,0.0
66,30,30,1.0
67,0,30,0.0
68,0,30,0.0
69,30,30,1.0
70,0,30,0.0
71,0,30,0.0
72,0,30,0.0
9,13,30,0.43333333333333335
73,30,30,1.0
74,0,30,0.0
75,0,30,0.0
76,0,30,0.0
10,30,30,1.0
77,30,30,1.0
78,0,30,0.0
79,0,30,0.0
80,30,30,1.0
11,23,30,0.7666666666666667
12,0,30,0.0
13,0,30,0.0
81,30,30,1.0
82,0,30,0.0
83,0,30,0.0
84,30,30,1.0
85,0,30,0.0
86,0,30,0.0
87,0,30,0.0
14,8,30,0.26666666666666666
88,30,30,1.0
89,0,30,0.0
90,0,30,0.0
15,22,30,0.7333333333333333
16,0,30,0.0
91,30,30,1.0
92,0,30,0.0
93,0,30,0.0
94,30,30,1.0
95,0,30,0.0
96,0,30,0.0
97,0,30,0.0
98,30,30,1.0
99,0,30,0.0
100,30,30,1.0
17,19,30,0.6333333333333333
18,7,30,0.23333333333333334
19,12,30,0.4
20,0,30,0.0
21,20,30,0.6666666666666666
22,0,30,0.0
23,21,30,0.7
24,30,30,1.0
25,30,30,1.0
26,0,30,0.0
27,0,30,0.0
28,30,30,1.0
29,0,30,0.0
30,30,30,1.0
31,22,30,0.7333333333333333
32,0,30,0.0
33,30,30,1.0
34,0,30,0.0
35,30,30,1.0
36,23,30,0.7666666666666667
37,0,30,0.0
38,0,30,0.0
39,0,30,0.0
40,22,30,0.7333333333333333
41,0,30,0.0
42,23,30,0.7666666666666667
43,0,30,0.0
44,30,30,1.0
45,0,30,0.0
46,30,30,1.0
47,18,30,0.6
48,24,30,0.8
49,0,30,0.0
50,30,30,1.0
51,0,30,0.0
52,0,30,0.0
53,0,30,0.0
54,30,30,1.0
55,0,30,0.0
56,30,30,1.0
57,0,30,0.0
58,0,30,0.0
59,0,30,0.0
60,30,30,1.0
61,30,30,1.0
62,0,30,0.0
63,0,30,0.0
64,0,30,0.0
65,30,30,1.0
66,0,30,0.0
67,0,30,0.0
68,0,30,0.0
69,30,30,1.0
70,0,30,0.0
71,30,30,1.0
72,0,30,0.0
73,0,30,0.0
74,0,30,0.0
75,30,30,1.0
76,0,30,0.0
77,30,30,1.0
78,0,30,0.0
79,30,30,1.0
80,0,30,0.0
81,0,30,0.0
82,30,30,1.0
83,0,30,0.0
84,1,30,0.03333333333333333
85,0,30,0.0
86,1,30,0.03333333333333333
87,30,30,1.0
88,0,30,0.0
89,30,30,1.0
90,0,30,0.0
91,30,30,1.0
92,0,30,0.0
93,0,30,0.0
94,0,30,0.0
95,1,30,0.03333333333333333
96,30,30,1.0
97,30,30,1.0
98,0,30,0.0
99,30,30,1.0
100,0,30,0.0
