Round,Attack,Sample_Index,Sample_Path,Seed_Path
1,DeepFool,0,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_0.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_10.npy
1,DeepFool,1,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_1.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_14.npy
1,DeepFool,2,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_2.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_16.npy
1,DeepFool,3,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_3.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_17.npy
1,DeepFool,4,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_4.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_10.npy
1,DeepFool,5,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_5.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_0.npy
1,DeepFool,6,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_6.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_12.npy
1,DeepFool,7,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_7.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_11.npy
1,DeepFool,8,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_8.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_1.npy
1,DeepFool,9,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_9.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_15.npy
1,DeepFool,10,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_10.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_3.npy
1,DeepFool,11,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_11.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy
1,DeepFool,12,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_12.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_18.npy
1,DeepFool,13,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_13.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_5.npy
1,DeepFool,14,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_14.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy
1,DeepFool,15,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_1_attack_DeepFool_sample_15.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_9.npy
2,PGD,0,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_0.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_10.npy
2,PGD,1,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_1.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_1.npy
2,PGD,2,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_2.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_20.npy
2,PGD,3,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_3.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_DeepFool_sample_26.npy
2,PGD,4,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_4.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_PGD_sample_27.npy
2,PGD,5,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_5.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_12.npy
2,PGD,6,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_6.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_Universal_sample_10.npy
2,PGD,7,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_7.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/seed_data/initial_seed_data.npy
2,PGD,8,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_2_attack_PGD_sample_8.npy,PyTorch/TorchLeNet5Fashion/adversarial_samples/round_0_attack_FGM_sample_8.npy
