Round,Index,True Label,Predict Label
1,0,"tensor(8, device='cuda:0')","tensor(38, device='cuda:0')"
1,2,"tensor(54, device='cuda:0')","tensor(87, device='cuda:0')"
1,3,"tensor(8, device='cuda:0')","tensor(87, device='cuda:0')"
1,4,"tensor(8, device='cuda:0')","tensor(10, device='cuda:0')"
1,5,"tensor(87, device='cuda:0')","tensor(70, device='cuda:0')"
1,9,"tensor(8, device='cuda:0')","tensor(38, device='cuda:0')"
1,10,"tensor(8, device='cuda:0')","tensor(87, device='cuda:0')"
1,13,"tensor(8, device='cuda:0')","tensor(38, device='cuda:0')"
1,14,"tensor(8, device='cuda:0')","tensor(10, device='cuda:0')"
1,15,"tensor(8, device='cuda:0')","tensor(87, device='cuda:0')"
1,17,"tensor(10, device='cuda:0')","tensor(38, device='cuda:0')"
1,20,"tensor(8, device='cuda:0')","tensor(38, device='cuda:0')"
1,22,"tensor(87, device='cuda:0')","tensor(54, device='cuda:0')"
1,24,"tensor(87, device='cuda:0')","tensor(8, device='cuda:0')"
1,28,"tensor(8, device='cuda:0')","tensor(38, device='cuda:0')"
1,29,"tensor(87, device='cuda:0')","tensor(8, device='cuda:0')"
2,0,"tensor(87, device='cuda:0')","tensor(38, device='cuda:0')"
2,1,"tensor(54, device='cuda:0')","tensor(35, device='cuda:0')"
2,2,"tensor(87, device='cuda:0')","tensor(8, device='cuda:0')"
2,3,"tensor(8, device='cuda:0')","tensor(60, device='cuda:0')"
2,4,"tensor(87, device='cuda:0')","tensor(8, device='cuda:0')"
2,5,"tensor(8, device='cuda:0')","tensor(10, device='cuda:0')"
2,6,"tensor(8, device='cuda:0')","tensor(60, device='cuda:0')"
2,7,"tensor(38, device='cuda:0')","tensor(87, device='cuda:0')"
2,8,"tensor(38, device='cuda:0')","tensor(87, device='cuda:0')"
2,9,"tensor(8, device='cuda:0')","tensor(7, device='cuda:0')"
2,10,"tensor(38, device='cuda:0')","tensor(87, device='cuda:0')"
2,11,"tensor(8, device='cuda:0')","tensor(60, device='cuda:0')"
2,12,"tensor(38, device='cuda:0')","tensor(87, device='cuda:0')"
2,13,"tensor(8, device='cuda:0')","tensor(38, device='cuda:0')"
2,14,"tensor(54, device='cuda:0')","tensor(35, device='cuda:0')"
2,15,"tensor(8, device='cuda:0')","tensor(60, device='cuda:0')"
2,16,"tensor(8, device='cuda:0')","tensor(10, device='cuda:0')"
2,17,"tensor(38, device='cuda:0')","tensor(87, device='cuda:0')"
