Round,Succ,All,Prob
1,16,30,0.5333333333333333
2,30,30,1.0
3,13,30,0.43333333333333335
4,0,30,0.0
5,30,30,1.0
6,0,30,0.0
7,30,30,1.0
8,10,30,0.3333333333333333
9,23,30,0.7666666666666667
10,17,30,0.5666666666666667
11,21,30,0.7
12,22,30,0.7333333333333333
13,15,30,0.5
14,15,30,0.5
15,8,30,0.26666666666666666
16,30,30,1.0
17,30,30,1.0
18,30,30,1.0
19,0,30,0.0
20,30,30,1.0
21,30,30,1.0
22,0,30,0.0
23,30,30,1.0
24,30,30,1.0
25,0,30,0.0
26,30,30,1.0
27,10,30,0.3333333333333333
28,30,30,1.0
29,1,30,0.03333333333333333
30,12,30,0.4
31,14,30,0.4666666666666667
32,13,30,0.43333333333333335
33,0,30,0.0
34,30,30,1.0
35,30,30,1.0
36,0,30,0.0
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,0,30,0.0
41,30,30,1.0
42,0,30,0.0
43,30,30,1.0
44,12,30,0.4
45,30,30,1.0
46,30,30,1.0
47,30,30,1.0
48,11,30,0.36666666666666664
49,0,30,0.0
50,30,30,1.0
51,9,30,0.3
52,30,30,1.0
53,0,30,0.0
54,11,30,0.36666666666666664
55,11,30,0.36666666666666664
56,0,30,0.0
57,30,30,1.0
58,30,30,1.0
59,30,30,1.0
60,30,30,1.0
61,0,30,0.0
62,0,30,0.0
63,12,30,0.4
64,9,30,0.3
65,30,30,1.0
66,30,30,1.0
67,30,30,1.0
68,30,30,1.0
69,0,30,0.0
70,0,30,0.0
71,12,30,0.4
72,11,30,0.36666666666666664
73,30,30,1.0
74,30,30,1.0
75,30,30,1.0
76,30,30,1.0
77,0,30,0.0
78,0,30,0.0
79,14,30,0.4666666666666667
80,8,30,0.26666666666666666
81,30,30,1.0
82,30,30,1.0
83,30,30,1.0
84,30,30,1.0
85,0,30,0.0
86,30,30,1.0
87,7,30,0.23333333333333334
88,30,30,1.0
89,0,30,0.0
90,30,30,1.0
91,30,30,1.0
92,10,30,0.3333333333333333
93,30,30,1.0
94,11,30,0.36666666666666664
95,11,30,0.36666666666666664
96,1,30,0.03333333333333333
97,30,30,1.0
98,0,30,0.0
99,30,30,1.0
100,0,30,0.0
