Round,Cnt,All,Prob
1,30,30,1.0
2,30,30,1.0
3,16,30,0.5333333333333333
4,11,30,0.36666666666666664
5,28,30,0.9333333333333333
6,30,30,1.0
7,30,30,1.0
8,11,30,0.36666666666666664
9,8,30,0.26666666666666666
10,10,30,0.3333333333333333
11,9,30,0.3
12,13,30,0.43333333333333335
13,6,30,0.2
14,30,30,1.0
15,30,30,1.0
16,30,30,1.0
17,30,30,1.0
18,30,30,1.0
19,30,30,1.0
20,5,30,0.16666666666666666
21,30,30,1.0
22,30,30,1.0
23,30,30,1.0
24,10,30,0.3333333333333333
25,30,30,1.0
26,8,30,0.26666666666666666
27,30,30,1.0
28,30,30,1.0
29,30,30,1.0
30,10,30,0.3333333333333333
31,30,30,1.0
32,10,30,0.3333333333333333
33,30,30,1.0
34,30,30,1.0
35,10,30,0.3333333333333333
36,30,30,1.0
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,13,30,0.43333333333333335
41,30,30,1.0
42,30,30,1.0
43,12,30,0.4
44,7,30,0.23333333333333334
45,30,30,1.0
46,30,30,1.0
47,30,30,1.0
48,30,30,1.0
49,30,30,1.0
50,30,30,1.0
51,30,30,1.0
52,30,30,1.0
53,30,30,1.0
54,30,30,1.0
55,30,30,1.0
56,30,30,1.0
57,30,30,1.0
58,30,30,1.0
59,30,30,1.0
60,30,30,1.0
61,30,30,1.0
62,30,30,1.0
63,30,30,1.0
64,30,30,1.0
65,30,30,1.0
66,30,30,1.0
67,30,30,1.0
68,30,30,1.0
69,30,30,1.0
70,30,30,1.0
71,30,30,1.0
72,30,30,1.0
73,30,30,1.0
74,30,30,1.0
75,30,30,1.0
76,30,30,1.0
77,30,30,1.0
78,30,30,1.0
79,30,30,1.0
80,30,30,1.0
81,30,30,1.0
82,30,30,1.0
83,30,30,1.0
84,30,30,1.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
88,30,30,1.0
89,30,30,1.0
90,30,30,1.0
91,30,30,1.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,30,30,1.0
96,30,30,1.0
97,30,30,1.0
98,30,30,1.0
99,30,30,1.0
100,30,30,1.0
