Round,Cnt,All,Prob
1,0,30,0.0
2,0,30,0.0
3,14,30,0.4666666666666667
4,19,30,0.6333333333333333
5,2,30,0.06666666666666667
6,0,30,0.0
7,0,30,0.0
8,19,30,0.6333333333333333
9,22,30,0.7333333333333333
10,20,30,0.6666666666666666
11,21,30,0.7
12,17,30,0.5666666666666667
13,24,30,0.8
14,0,30,0.0
15,0,30,0.0
16,0,30,0.0
17,0,30,0.0
18,0,30,0.0
19,0,30,0.0
20,25,30,0.8333333333333334
21,0,30,0.0
22,0,30,0.0
23,0,30,0.0
24,20,30,0.6666666666666666
25,0,30,0.0
26,22,30,0.7333333333333333
27,0,30,0.0
28,0,30,0.0
29,0,30,0.0
30,20,30,0.6666666666666666
31,0,30,0.0
32,20,30,0.6666666666666666
33,0,30,0.0
34,0,30,0.0
35,20,30,0.6666666666666666
36,0,30,0.0
37,0,30,0.0
38,0,30,0.0
39,0,30,0.0
40,17,30,0.5666666666666667
41,0,30,0.0
42,0,30,0.0
43,18,30,0.6
44,23,30,0.7666666666666667
45,0,30,0.0
46,0,30,0.0
47,0,30,0.0
48,0,30,0.0
49,0,30,0.0
50,0,30,0.0
51,0,30,0.0
52,0,30,0.0
53,0,30,0.0
54,0,30,0.0
55,0,30,0.0
56,0,30,0.0
57,0,30,0.0
58,0,30,0.0
59,0,30,0.0
60,0,30,0.0
61,0,30,0.0
62,0,30,0.0
63,0,30,0.0
64,0,30,0.0
65,0,30,0.0
66,0,30,0.0
67,0,30,0.0
68,0,30,0.0
69,0,30,0.0
70,0,30,0.0
71,0,30,0.0
72,0,30,0.0
73,0,30,0.0
74,0,30,0.0
75,0,30,0.0
76,0,30,0.0
77,0,30,0.0
78,0,30,0.0
79,0,30,0.0
80,0,30,0.0
81,0,30,0.0
82,0,30,0.0
83,0,30,0.0
84,0,30,0.0
85,0,30,0.0
86,0,30,0.0
87,0,30,0.0
88,0,30,0.0
89,0,30,0.0
90,0,30,0.0
91,0,30,0.0
92,0,30,0.0
93,0,30,0.0
94,0,30,0.0
95,0,30,0.0
96,0,30,0.0
97,0,30,0.0
98,0,30,0.0
99,0,30,0.0
100,0,30,0.0
