Round,Attack,Sample_Index,Sample_Path,Seed_Path
1,FGM,0,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_20.npy
1,FGM,1,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_14.npy
1,FGM,2,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_20.npy
1,FGM,3,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_18.npy
1,FGM,4,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_12.npy
1,FGM,5,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
1,FGM,6,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_14.npy
1,FGM,7,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
1,FGM,8,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
1,FGM,9,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_8.npy
1,FGM,10,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_16.npy
1,FGM,11,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_11.npy
1,FGM,12,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_5.npy
1,FGM,13,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_9.npy
1,FGM,14,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_14.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_1.npy
1,FGM,15,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_15.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_10.npy
1,FGM,16,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_16.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_11.npy
1,FGM,17,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_17.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_11.npy
1,FGM,18,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_18.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
1,FGM,19,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_19.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
1,FGM,20,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_20.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_9.npy
1,FGM,21,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_21.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_25.npy
1,FGM,22,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_22.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_2.npy
1,FGM,23,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_23.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_13.npy
1,FGM,24,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_24.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_15.npy
1,FGM,25,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_25.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_0.npy
1,FGM,26,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_26.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_19.npy
1,FGM,27,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_27.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
1,FGM,28,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_28.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_12.npy
2,CW,0,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_8.npy
2,CW,1,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
2,CW,2,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
2,CW,3,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_20.npy
2,CW,4,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_27.npy
2,CW,5,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_13.npy
2,CW,6,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
2,CW,7,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
2,CW,8,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_2.npy
2,CW,9,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_26.npy
2,CW,10,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_20.npy
2,CW,11,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_23.npy
2,CW,12,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_24.npy
2,CW,13,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,0,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_0.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,1,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_1.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_6.npy
3,DeepFool,2,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_2.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_11.npy
3,DeepFool,3,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_3.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_15.npy
3,DeepFool,4,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_4.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_13.npy
3,DeepFool,5,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_5.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,6,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_6.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_25.npy
3,DeepFool,7,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_7.npy,PyTorch/TorchResNet50/adversarial_samples/round_2_attack_CW_sample_0.npy
3,DeepFool,8,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_8.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,9,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_9.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_2.npy
3,DeepFool,10,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_10.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_12.npy
3,DeepFool,11,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_11.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_9.npy
3,DeepFool,12,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_12.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_19.npy
3,DeepFool,13,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_13.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,14,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_14.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_23.npy
3,DeepFool,15,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_15.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_20.npy
3,DeepFool,16,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_16.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_DeepFool_sample_2.npy
3,DeepFool,17,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_17.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_PGD_sample_9.npy
3,DeepFool,18,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_18.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_6.npy
3,DeepFool,19,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_19.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,20,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_20.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,21,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_21.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,22,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_22.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_3.npy
3,DeepFool,23,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_23.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
3,DeepFool,24,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_24.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_CW_sample_24.npy
3,DeepFool,25,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_25.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_FGM_sample_13.npy
3,DeepFool,26,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_26.npy,PyTorch/TorchResNet50/adversarial_samples/round_0_attack_Universal_sample_12.npy
3,DeepFool,27,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_27.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_4.npy
3,DeepFool,28,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_28.npy,PyTorch/TorchResNet50/adversarial_samples/round_1_attack_FGM_sample_10.npy
3,DeepFool,29,PyTorch/TorchResNet50/adversarial_samples/round_3_attack_DeepFool_sample_29.npy,PyTorch/TorchResNet50/adversarial_samples/seed_data/initial_seed_data.npy
