Round,Index,True Label,Predict Label
1,0,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,1,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,2,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,3,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,4,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,5,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
1,6,"tensor(17, device='cuda:1')","tensor(96, device='cuda:1')"
1,7,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
1,8,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
1,9,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,10,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,12,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,13,"tensor(17, device='cuda:1')","tensor(96, device='cuda:1')"
1,14,"tensor(17, device='cuda:1')","tensor(96, device='cuda:1')"
1,15,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,16,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,17,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,18,"tensor(17, device='cuda:1')","tensor(96, device='cuda:1')"
1,19,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
1,20,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
1,21,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,22,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,23,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,24,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,25,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,26,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,27,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
1,28,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
1,29,"tensor(17, device='cuda:1')","tensor(67, device='cuda:1')"
2,3,"tensor(17, device='cuda:1')","tensor(96, device='cuda:1')"
2,6,"tensor(67, device='cuda:1')","tensor(17, device='cuda:1')"
