Round,Cnt,All,Prob
1,29,30,0.9666666666666667
2,10,30,0.3333333333333333
3,30,30,1.0
4,30,30,1.0
5,23,30,0.7666666666666667
6,25,30,0.8333333333333334
7,9,30,0.3
8,14,30,0.4666666666666667
9,9,30,0.3
10,28,30,0.9333333333333333
11,24,30,0.8
12,27,30,0.9
13,30,30,1.0
14,30,30,1.0
15,29,30,0.9666666666666667
16,26,30,0.8666666666666667
17,30,30,1.0
18,29,30,0.9666666666666667
19,10,30,0.3333333333333333
20,25,30,0.8333333333333334
21,27,30,0.9
22,24,30,0.8
23,30,30,1.0
24,25,30,0.8333333333333334
25,29,30,0.9666666666666667
26,9,30,0.3
27,29,30,0.9666666666666667
28,25,30,0.8333333333333334
29,30,30,1.0
30,30,30,1.0
31,30,30,1.0
32,14,30,0.4666666666666667
33,14,30,0.4666666666666667
34,30,30,1.0
35,30,30,1.0
36,30,30,1.0
37,8,30,0.26666666666666666
38,28,30,0.9333333333333333
39,30,30,1.0
40,24,30,0.8
41,29,30,0.9666666666666667
42,13,30,0.43333333333333335
43,26,30,0.8666666666666667
44,30,30,1.0
45,11,30,0.36666666666666664
46,24,30,0.8
47,30,30,1.0
48,30,30,1.0
49,30,30,1.0
50,29,30,0.9666666666666667
51,30,30,1.0
52,30,30,1.0
53,30,30,1.0
54,30,30,1.0
55,30,30,1.0
56,30,30,1.0
57,30,30,1.0
58,30,30,1.0
59,30,30,1.0
60,30,30,1.0
61,30,30,1.0
62,30,30,1.0
63,30,30,1.0
64,30,30,1.0
65,30,30,1.0
66,30,30,1.0
67,30,30,1.0
68,30,30,1.0
69,30,30,1.0
70,30,30,1.0
71,30,30,1.0
72,30,30,1.0
73,30,30,1.0
74,30,30,1.0
75,30,30,1.0
76,30,30,1.0
77,30,30,1.0
78,30,30,1.0
79,30,30,1.0
80,30,30,1.0
81,30,30,1.0
82,30,30,1.0
83,30,30,1.0
84,30,30,1.0
85,30,30,1.0
86,30,30,1.0
87,30,30,1.0
88,30,30,1.0
89,30,30,1.0
90,30,30,1.0
91,30,30,1.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,30,30,1.0
96,30,30,1.0
97,30,30,1.0
98,30,30,1.0
99,30,30,1.0
100,30,30,1.0
