Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
1,DeepFool,0,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_DeepFool_sample_0.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_23.npy,"tensor(11, device='cuda:0')","tensor(5, device='cuda:0')"
2,CW,0,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_0.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(22, device='cuda:0')","tensor(22, device='cuda:0')"
2,CW,1,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_1.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_27.npy,"tensor(5, device='cuda:0')","tensor(5, device='cuda:0')"
2,CW,2,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_2.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_2.npy,"tensor(5, device='cuda:0')","tensor(95, device='cuda:0')"
2,CW,3,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_3.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_1.npy,"tensor(5, device='cuda:0')","tensor(5, device='cuda:0')"
2,CW,4,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_4.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_9.npy,"tensor(92, device='cuda:0')","tensor(15, device='cuda:0')"
2,CW,5,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_5.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(5, device='cuda:0')","tensor(5, device='cuda:0')"
2,CW,6,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_6.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy,"tensor(5, device='cuda:0')","tensor(5, device='cuda:0')"
2,CW,7,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_7.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_7.npy,"tensor(22, device='cuda:0')","tensor(22, device='cuda:0')"
2,CW,8,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_CW_sample_8.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_DeepFool_sample_4.npy,"tensor(22, device='cuda:0')","tensor(22, device='cuda:0')"
