Round,Cnt,All,Prob
1,1,30,0.03333333333333333
2,20,30,0.6666666666666666
3,0,30,0.0
4,0,30,0.0
5,7,30,0.23333333333333334
6,5,30,0.16666666666666666
7,21,30,0.7
8,16,30,0.5333333333333333
9,21,30,0.7
10,2,30,0.06666666666666667
11,6,30,0.2
12,3,30,0.1
13,0,30,0.0
14,0,30,0.0
15,1,30,0.03333333333333333
16,4,30,0.13333333333333333
17,0,30,0.0
18,1,30,0.03333333333333333
19,20,30,0.6666666666666666
20,5,30,0.16666666666666666
21,3,30,0.1
22,6,30,0.2
23,0,30,0.0
24,5,30,0.16666666666666666
25,1,30,0.03333333333333333
26,21,30,0.7
27,1,30,0.03333333333333333
28,5,30,0.16666666666666666
29,0,30,0.0
30,0,30,0.0
31,0,30,0.0
32,16,30,0.5333333333333333
33,16,30,0.5333333333333333
34,0,30,0.0
35,0,30,0.0
36,0,30,0.0
37,22,30,0.7333333333333333
38,2,30,0.06666666666666667
39,0,30,0.0
40,6,30,0.2
41,1,30,0.03333333333333333
42,17,30,0.5666666666666667
43,4,30,0.13333333333333333
44,0,30,0.0
45,19,30,0.6333333333333333
46,6,30,0.2
47,0,30,0.0
48,0,30,0.0
49,0,30,0.0
50,1,30,0.03333333333333333
51,0,30,0.0
52,0,30,0.0
53,0,30,0.0
54,0,30,0.0
55,0,30,0.0
56,0,30,0.0
57,0,30,0.0
58,0,30,0.0
59,0,30,0.0
60,0,30,0.0
61,0,30,0.0
62,0,30,0.0
63,0,30,0.0
64,0,30,0.0
65,0,30,0.0
66,0,30,0.0
67,0,30,0.0
68,0,30,0.0
69,0,30,0.0
70,0,30,0.0
71,0,30,0.0
72,0,30,0.0
73,0,30,0.0
74,0,30,0.0
75,0,30,0.0
76,0,30,0.0
77,0,30,0.0
78,0,30,0.0
79,0,30,0.0
80,0,30,0.0
81,0,30,0.0
82,0,30,0.0
83,0,30,0.0
84,0,30,0.0
85,0,30,0.0
86,0,30,0.0
87,0,30,0.0
88,0,30,0.0
89,0,30,0.0
90,0,30,0.0
91,0,30,0.0
92,0,30,0.0
93,0,30,0.0
94,0,30,0.0
95,0,30,0.0
96,0,30,0.0
97,0,30,0.0
98,0,30,0.0
99,0,30,0.0
100,0,30,0.0
