Round,Attack,Sample_Index,Sample_Path,Seed_Path
1,Universal,0,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_0.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_20.npy
1,Universal,1,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_1.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_18.npy
1,Universal,2,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_2.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,3,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_3.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_2.npy
1,Universal,4,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_4.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_3.npy
1,Universal,5,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_5.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,6,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_6.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,7,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_7.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_17.npy
1,Universal,8,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_8.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_18.npy
1,Universal,9,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_9.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_7.npy
1,Universal,10,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_10.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,11,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_11.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,12,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_12.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,13,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_13.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_19.npy
1,Universal,14,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_14.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_18.npy
1,Universal,15,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_15.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_0.npy
1,Universal,16,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_16.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_6.npy
1,Universal,17,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_17.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_10.npy
1,Universal,18,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_18.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_17.npy
1,Universal,19,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_19.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,20,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_20.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_11.npy
1,Universal,21,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_21.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_16.npy
1,Universal,22,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_22.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_13.npy
1,Universal,23,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_23.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_7.npy
1,Universal,24,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_24.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_0.npy
1,Universal,25,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_25.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_10.npy
1,Universal,26,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_26.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
1,Universal,27,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_27.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_26.npy
1,Universal,28,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_28.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
2,FGM,0,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_0.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
2,FGM,1,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_1.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_10.npy
2,FGM,2,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_2.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_10.npy
2,FGM,3,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_3.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_8.npy
2,FGM,4,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_4.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_29.npy
2,FGM,5,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_5.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_14.npy
2,FGM,6,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_6.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_17.npy
2,FGM,7,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_7.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_20.npy
2,FGM,8,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_8.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_5.npy
2,FGM,9,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_9.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
2,FGM,10,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_10.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_20.npy
2,FGM,11,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_11.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_1.npy
2,FGM,12,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_12.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_26.npy
2,FGM,13,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_13.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_3.npy
2,FGM,14,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_14.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_12.npy
2,FGM,15,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_15.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_5.npy
2,FGM,16,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_16.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_21.npy
2,FGM,17,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_17.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_0.npy
2,FGM,18,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_18.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_27.npy
2,FGM,19,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_19.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_12.npy
2,FGM,20,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_20.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_16.npy
2,FGM,21,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_21.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_7.npy
2,FGM,22,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_22.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
2,FGM,23,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_23.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_8.npy
2,FGM,24,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_24.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_21.npy
2,FGM,25,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_25.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_19.npy
2,FGM,26,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_26.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_16.npy
2,FGM,27,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_27.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_15.npy
2,FGM,28,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_28.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_0.npy
2,FGM,29,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_29.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_21.npy
3,CW,0,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_0.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_1.npy
3,CW,1,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_1.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_21.npy
3,CW,2,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_2.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_1.npy
3,CW,3,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_3.npy,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_3.npy
3,CW,4,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_4.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_25.npy
3,CW,5,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_5.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_19.npy
3,CW,6,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_6.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_8.npy
3,CW,7,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_7.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_14.npy
3,CW,8,PyTorch/TorchVGG16/adversarial_samples/round_3_attack_CW_sample_8.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_4.npy
4,DeepFool,0,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_0.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_29.npy
4,DeepFool,1,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_1.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_17.npy
4,DeepFool,2,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_2.npy,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_15.npy
4,DeepFool,3,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_3.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_13.npy
4,DeepFool,4,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_4.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
4,DeepFool,5,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_5.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_23.npy
4,DeepFool,6,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_6.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_5.npy
4,DeepFool,7,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_7.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_13.npy
4,DeepFool,8,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_8.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_9.npy
4,DeepFool,9,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_9.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_13.npy
4,DeepFool,10,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_10.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_27.npy
4,DeepFool,11,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_11.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_2.npy
4,DeepFool,12,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_12.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
4,DeepFool,13,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_13.npy,PyTorch/TorchVGG16/adversarial_samples/round_1_attack_Universal_sample_0.npy
4,DeepFool,14,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_14.npy,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_10.npy
4,DeepFool,15,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_15.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_11.npy
4,DeepFool,16,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_16.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_18.npy
4,DeepFool,17,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_17.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_21.npy
4,DeepFool,18,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_18.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_Universal_sample_9.npy
4,DeepFool,19,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_19.npy,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_27.npy
4,DeepFool,20,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_20.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_FGM_sample_1.npy
4,DeepFool,21,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_21.npy,PyTorch/TorchVGG16/adversarial_samples/seed_data/initial_seed_data.npy
4,DeepFool,22,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_22.npy,PyTorch/TorchVGG16/adversarial_samples/round_2_attack_FGM_sample_9.npy
4,DeepFool,23,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_23.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_PGD_sample_19.npy
4,DeepFool,24,PyTorch/TorchVGG16/adversarial_samples/round_4_attack_DeepFool_sample_24.npy,PyTorch/TorchVGG16/adversarial_samples/round_0_attack_DeepFool_sample_15.npy
