Round,Cnt,All,Prob
4,20,30,0.6666666666666666
5,28,30,0.9333333333333333
6,30,30,1.0
7,30,30,1.0
8,30,30,1.0
9,30,30,1.0
10,30,30,1.0
11,22,30,0.7333333333333333
12,7,30,0.23333333333333334
13,0,30,0.0
14,0,30,0.0
15,30,30,1.0
16,0,30,0.0
17,20,30,0.6666666666666666
18,30,30,1.0
19,30,30,1.0
20,25,30,0.8333333333333334
21,13,30,0.43333333333333335
22,30,30,1.0
23,0,30,0.0
24,0,30,0.0
25,30,30,1.0
26,30,30,1.0
27,0,30,0.0
28,21,30,0.7
29,29,30,0.9666666666666667
30,21,30,0.7
31,30,30,1.0
32,30,30,1.0
33,30,30,1.0
34,0,30,0.0
35,30,30,1.0
36,0,30,0.0
37,30,30,1.0
38,30,30,1.0
39,30,30,1.0
40,0,30,0.0
41,30,30,1.0
42,30,30,1.0
43,0,30,0.0
44,30,30,1.0
45,30,30,1.0
46,0,30,0.0
47,30,30,1.0
48,30,30,1.0
49,0,30,0.0
50,30,30,1.0
51,30,30,1.0
52,0,30,0.0
53,30,30,1.0
54,0,30,0.0
55,30,30,1.0
56,30,30,1.0
57,30,30,1.0
58,0,30,0.0
59,30,30,1.0
60,0,30,0.0
61,30,30,1.0
62,30,30,1.0
63,30,30,1.0
64,0,30,0.0
65,30,30,1.0
66,30,30,1.0
67,0,30,0.0
68,30,30,1.0
69,0,30,0.0
70,30,30,1.0
71,30,30,1.0
72,0,30,0.0
73,30,30,1.0
74,30,30,1.0
75,0,30,0.0
76,30,30,1.0
77,30,30,1.0
78,30,30,1.0
79,0,30,0.0
80,30,30,1.0
81,30,30,1.0
82,30,30,1.0
83,0,30,0.0
84,30,30,1.0
85,30,30,1.0
86,0,30,0.0
87,0,30,0.0
88,30,30,1.0
89,30,30,1.0
90,30,30,1.0
91,0,30,0.0
92,30,30,1.0
93,30,30,1.0
94,30,30,1.0
95,0,30,0.0
96,0,30,0.0
97,30,30,1.0
98,30,30,1.0
99,0,30,0.0
100,30,30,1.0
