Round,Attack,Sample_Index,Sample_Path,Seed_Path,Seed_Label,Sample_Label
1,CW,0,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_0.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_Universal_sample_9.npy,68,68
1,CW,1,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_1.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_1.npy,13,13
1,CW,2,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_2.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_5.npy,81,81
1,CW,3,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_3.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_2.npy,13,13
1,CW,4,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_4.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_2.npy,13,13
1,CW,5,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_5.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_Universal_sample_7.npy,13,13
1,CW,6,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_6.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_Universal_sample_3.npy,13,13
1,CW,7,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_7.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_9.npy,4,4
1,CW,8,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_8.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_21.npy,13,13
1,CW,9,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_9.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_26.npy,68,68
1,CW,10,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_10.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_20.npy,13,13
1,CW,11,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_11.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_10.npy,13,13
1,CW,12,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_12.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_8.npy,13,13
1,CW,13,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_13.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_0.npy,13,13
1,CW,14,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_14.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_11.npy,13,13
1,CW,15,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_15.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_18.npy,4,4
1,CW,16,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_16.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_17.npy,34,34
1,CW,17,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_17.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_12.npy,68,68
1,CW,18,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_18.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_12.npy,13,13
1,CW,19,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_19.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_8.npy,13,13
1,CW,20,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_20.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_5.npy,68,68
1,CW,21,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_21.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_23.npy,13,13
1,CW,22,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_22.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_24.npy,13,13
1,CW,23,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_23.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_20.npy,4,4
1,CW,24,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_24.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_18.npy,13,13
1,CW,25,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_25.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_18.npy,81,81
1,CW,26,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_26.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_12.npy,13,13
1,CW,27,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_27.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_27.npy,13,13
1,CW,28,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_28.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_16.npy,13,13
1,CW,29,PyTorch/TorchXception/adversarial_samples/round_1_attack_CW_sample_29.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_5.npy,13,13
4,Universal,0,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_0.npy,PyTorch/TorchXception/adversarial_samples/round_2_attack_PGD_sample_26.npy,68,13
4,Universal,1,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_1.npy,PyTorch/TorchXception/adversarial_samples/round_2_attack_PGD_sample_29.npy,68,13
4,Universal,2,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_2.npy,PyTorch/TorchXception/adversarial_samples/round_2_attack_PGD_sample_7.npy,4,4
4,Universal,3,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_3.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_14.npy,81,13
4,Universal,4,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_4.npy,PyTorch/TorchXception/adversarial_samples/round_2_attack_PGD_sample_3.npy,81,13
4,Universal,5,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_5.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_13.npy,81,13
4,Universal,6,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_6.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_3.npy,68,13
4,Universal,7,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_7.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_8.npy,81,68
4,Universal,8,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_8.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_6.npy,4,4
4,Universal,9,PyTorch/TorchXception/adversarial_samples/round_4_attack_Universal_sample_9.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_17.npy,4,81
5,DeepFool,0,PyTorch/TorchXception/adversarial_samples/round_5_attack_DeepFool_sample_0.npy,PyTorch/TorchXception/adversarial_samples/round_2_attack_PGD_sample_8.npy,68,13
5,DeepFool,1,PyTorch/TorchXception/adversarial_samples/round_5_attack_DeepFool_sample_1.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_28.npy,68,13
11,DeepFool,0,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_0.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_17.npy,13,13
11,DeepFool,1,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_1.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_DeepFool_sample_10.npy,13,13
11,DeepFool,2,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_2.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_22.npy,13,13
11,DeepFool,3,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_3.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_18.npy,68,4
11,DeepFool,4,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_4.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_9.npy,4,13
11,DeepFool,5,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_5.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_Universal_sample_15.npy,68,4
11,DeepFool,6,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_6.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_10.npy,13,13
11,DeepFool,7,PyTorch/TorchXception/adversarial_samples/round_11_attack_DeepFool_sample_7.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_24.npy,13,68
12,Universal,0,PyTorch/TorchXception/adversarial_samples/round_12_attack_Universal_sample_0.npy,PyTorch/TorchXception/adversarial_samples/round_9_attack_FGM_sample_14.npy,13,13
12,Universal,1,PyTorch/TorchXception/adversarial_samples/round_12_attack_Universal_sample_1.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_CW_sample_1.npy,13,13
12,Universal,2,PyTorch/TorchXception/adversarial_samples/round_12_attack_Universal_sample_2.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_PGD_sample_21.npy,68,13
12,Universal,3,PyTorch/TorchXception/adversarial_samples/round_12_attack_Universal_sample_3.npy,PyTorch/TorchXception/adversarial_samples/round_7_attack_PGD_sample_19.npy,4,13
12,Universal,4,PyTorch/TorchXception/adversarial_samples/round_12_attack_Universal_sample_4.npy,PyTorch/TorchXception/adversarial_samples/round_0_attack_FGM_sample_14.npy,4,4
