Round,Cnt,All,Prob
4,10,30,0.3333333333333333
5,2,30,0.06666666666666667
6,0,30,0.0
7,0,30,0.0
8,0,30,0.0
9,0,30,0.0
10,0,30,0.0
11,8,30,0.26666666666666666
12,23,30,0.7666666666666667
13,30,30,1.0
14,30,30,1.0
15,0,30,0.0
16,30,30,1.0
17,10,30,0.3333333333333333
18,0,30,0.0
19,0,30,0.0
20,5,30,0.16666666666666666
21,17,30,0.5666666666666667
22,0,30,0.0
23,30,30,1.0
24,30,30,1.0
25,0,30,0.0
26,0,30,0.0
27,30,30,1.0
28,9,30,0.3
29,1,30,0.03333333333333333
30,9,30,0.3
31,0,30,0.0
32,0,30,0.0
33,0,30,0.0
34,30,30,1.0
35,0,30,0.0
36,30,30,1.0
37,0,30,0.0
38,0,30,0.0
39,0,30,0.0
40,30,30,1.0
41,0,30,0.0
42,0,30,0.0
43,30,30,1.0
44,0,30,0.0
45,0,30,0.0
46,30,30,1.0
47,0,30,0.0
48,0,30,0.0
49,30,30,1.0
50,0,30,0.0
51,0,30,0.0
52,30,30,1.0
53,0,30,0.0
54,30,30,1.0
55,0,30,0.0
56,0,30,0.0
57,0,30,0.0
58,30,30,1.0
59,0,30,0.0
60,30,30,1.0
61,0,30,0.0
62,0,30,0.0
63,0,30,0.0
64,30,30,1.0
65,0,30,0.0
66,0,30,0.0
67,30,30,1.0
68,0,30,0.0
69,30,30,1.0
70,0,30,0.0
71,0,30,0.0
72,30,30,1.0
73,0,30,0.0
74,0,30,0.0
75,30,30,1.0
76,0,30,0.0
77,0,30,0.0
78,0,30,0.0
79,30,30,1.0
80,0,30,0.0
81,0,30,0.0
82,0,30,0.0
83,30,30,1.0
84,0,30,0.0
85,0,30,0.0
86,30,30,1.0
87,30,30,1.0
88,0,30,0.0
89,0,30,0.0
90,0,30,0.0
91,30,30,1.0
92,0,30,0.0
93,0,30,0.0
94,0,30,0.0
95,30,30,1.0
96,30,30,1.0
97,0,30,0.0
98,0,30,0.0
99,30,30,1.0
100,0,30,0.0
